intent,patterns,bot_response
permits,Q242: Applicants must secure barangay approval before construction projects.,Applicants must secure barangay approval before construction projects.
violence,What is the barangay's policy on domestic violence?,Barangay strictly prohibits domestic violence and physical assault.
violence,Does Barangay Buhangin prohibit domestic violence?,Barangay strictly prohibits domestic violence and physical assault.
violence,How does the barangay handle cases of domestic abuse?,Barangay strictly prohibits domestic violence and physical assault.
permits,Q244: Applicants must secure barangay approval before construction projects.,Barangay permits are required for public events.
noise_control,What does the barangay noise ordinance require from residents?,Unnecessary loud sound at night may lead to barangay sanctions.
noise_control,Are there rules about noise levels in Barangay Buhangin?,Unnecessary loud sound at night may lead to barangay sanctions.
noise_control,How should residents manage noise under the barangay ordinance?,Unnecessary loud sound at night may lead to barangay sanctions.
barangay_clearance,Q246: Requirements for clearance include valid ID and barangay residency.,Clearance is needed for job applications and legal documents.
violence,What is the barangay's policy on domestic violence?,Violent behavior will be reported to barangay officials and police.
violence,Does Barangay Buhangin prohibit domestic violence?,Violent behavior will be reported to barangay officials and police.
violence,How does the barangay handle cases of domestic abuse?,Violent behavior will be reported to barangay officials and police.
noise_control,What does the barangay noise ordinance require from residents?,Unnecessary loud sound at night may lead to barangay sanctions.
noise_control,Are there rules about noise levels in Barangay Buhangin?,Unnecessary loud sound at night may lead to barangay sanctions.
noise_control,How should residents manage noise under the barangay ordinance?,Unnecessary loud sound at night may lead to barangay sanctions.
waste_management,What are the rules on garbage collection in Barangay Buhangin?,"Garbage collection in Barangay Buhangin is every Monday, Wednesday, and Friday."
waste_management,Are there fines for improper waste disposal in the barangay?,"Garbage collection in Barangay Buhangin is every Monday, Wednesday, and Friday."
waste_management,How is garbage managed in Barangay Buhangin?,"Garbage collection in Barangay Buhangin is every Monday, Wednesday, and Friday."
community_service,Q250: Community service may be given as penalty for minor offenses.,Offenders may be required to join clean-up drives.
curfew,Q251: Curfew hours in Barangay Buhangin are from 10:00 PM to 4:00 AM.,Curfew hours in Barangay Buhangin are from 10:00 PM to 4:00 AM.
permits,Q252: Barangay permits are required for public events.,Applicants must secure barangay approval before construction projects.
violence,What is the barangay's policy on domestic violence?,Barangay encourages peaceful resolution of disputes.
violence,Does Barangay Buhangin prohibit domestic violence?,Barangay encourages peaceful resolution of disputes.
violence,How does the barangay handle cases of domestic abuse?,Barangay encourages peaceful resolution of disputes.
drugs,How does Barangay Buhangin support the fight against illegal drugs?,Barangay Buhangin supports anti-illegal drugs campaigns.
drugs,What should I do if I witness illegal drug activity in Barangay Buhangin?,Barangay Buhangin supports anti-illegal drugs campaigns.
drugs,What are the barangay's efforts to prevent illegal drug use?,Barangay Buhangin supports anti-illegal drugs campaigns.
noise_control,What does the barangay noise ordinance require from residents?,Unnecessary loud sound at night may lead to barangay sanctions.
noise_control,Are there rules about noise levels in Barangay Buhangin?,Unnecessary loud sound at night may lead to barangay sanctions.
noise_control,How should residents manage noise under the barangay ordinance?,Unnecessary loud sound at night may lead to barangay sanctions.
loitering,Q256: Groups gathering in restricted areas may be dispersed by barangay tanods.,Loitering rules are enforced for minors and late-night gatherings.
loitering,Q257: Groups gathering in restricted areas may be dispersed by barangay tanods.,Groups gathering in restricted areas may be dispersed by barangay tanods.
loitering,Q258: Loitering in public areas during curfew is prohibited.,Loitering rules are enforced for minors and late-night gatherings.
curfew,Q259: Curfew hours in Barangay Buhangin are from 10:00 PM to 4:00 AM.,The barangay enforces curfew to ensure peace and order at night.
loitering,Q260: Groups gathering in restricted areas may be dispersed by barangay tanods.,Loitering rules are enforced for minors and late-night gatherings.
waste_management,What are the rules on garbage collection in Barangay Buhangin?,Improper waste disposal may lead to fines.
waste_management,Are there fines for improper waste disposal in the barangay?,Improper waste disposal may lead to fines.
waste_management,How is garbage managed in Barangay Buhangin?,Improper waste disposal may lead to fines.
barangay_clearance,Q262: Barangay clearance can be requested at the Barangay Hall during office hours.,Barangay clearance can be requested at the Barangay Hall during office hours.
noise_control,What does the barangay noise ordinance require from residents?,Barangay noise ordinance requires lowering volume at night.
noise_control,Are there rules about noise levels in Barangay Buhangin?,Barangay noise ordinance requires lowering volume at night.
noise_control,How should residents manage noise under the barangay ordinance?,Barangay noise ordinance requires lowering volume at night.
alcohol_regulation,Q264: Alcohol selling is prohibited after 10:00 PM.,Alcohol selling is prohibited after 10:00 PM.
alcohol_regulation,Q265: Liquor ban applies during fiestas and election periods.,Residents must follow restrictions on alcohol to avoid penalties.
curfew,Q266: Curfew hours in Barangay Buhangin are from 10:00 PM to 4:00 AM.,The barangay enforces curfew to ensure peace and order at night.
drugs,How does Barangay Buhangin support the fight against illegal drugs?,Illegal drug possession and use are punishable by law.
drugs,What should I do if I witness illegal drug activity in Barangay Buhangin?,Illegal drug possession and use are punishable by law.
drugs,What are the barangay's efforts to prevent illegal drug use?,Illegal drug possession and use are punishable by law.
noise_control,What does the barangay noise ordinance require from residents?,Loud noise is prohibited after 9:00 PM in residential areas.
noise_control,Are there rules about noise levels in Barangay Buhangin?,Loud noise is prohibited after 9:00 PM in residential areas.
noise_control,How should residents manage noise under the barangay ordinance?,Loud noise is prohibited after 9:00 PM in residential areas.
curfew,Q269: Curfew hours in Barangay Buhangin are from 10:00 PM to 4:00 AM.,The barangay enforces curfew to ensure peace and order at night.
permits,Q270: Applicants must secure barangay approval before construction projects.,Business permits are processed through the barangay before city hall.
noise_control,What does the barangay noise ordinance require from residents?,Barangay noise ordinance requires lowering volume at night.
noise_control,Are there rules about noise levels in Barangay Buhangin?,Barangay noise ordinance requires lowering volume at night.
noise_control,How should residents manage noise under the barangay ordinance?,Barangay noise ordinance requires lowering volume at night.
permits,Q272: Barangay permits are required for public events.,Business permits are processed through the barangay before city hall.
drugs,How does Barangay Buhangin support the fight against illegal drugs?,Illegal drug possession and use are punishable by law.
drugs,What should I do if I witness illegal drug activity in Barangay Buhangin?,Illegal drug possession and use are punishable by law.
drugs,What are the barangay's efforts to prevent illegal drug use?,Illegal drug possession and use are punishable by law.
curfew,Q274: The barangay enforces curfew to ensure peace and order at night.,Minors must stay indoors during curfew (10 PM - 4 AM).
violence,What is the barangay's policy on domestic violence?,Barangay encourages peaceful resolution of disputes.
violence,Does Barangay Buhangin prohibit domestic violence?,Barangay encourages peaceful resolution of disputes.
violence,How does the barangay handle cases of domestic abuse?,Barangay encourages peaceful resolution of disputes.
drugs,How does Barangay Buhangin support the fight against illegal drugs?,Illegal drug possession and use are punishable by law.
drugs,What should I do if I witness illegal drug activity in Barangay Buhangin?,Illegal drug possession and use are punishable by law.
drugs,What are the barangay's efforts to prevent illegal drug use?,Illegal drug possession and use are punishable by law.
loitering,Q277: Loitering in public areas during curfew is prohibited.,Groups gathering in restricted areas may be dispersed by barangay tanods.
violence,What is the barangay's policy on domestic violence?,Barangay strictly prohibits domestic violence and physical assault.
violence,Does Barangay Buhangin prohibit domestic violence?,Barangay strictly prohibits domestic violence and physical assault.
violence,How does the barangay handle cases of domestic abuse?,Barangay strictly prohibits domestic violence and physical assault.
community_service,Q279: Offenders may be required to join clean-up drives.,Barangay promotes community volunteerism.
curfew,Q280: Curfew hours in Barangay Buhangin are from 10:00 PM to 4:00 AM.,Minors must stay indoors during curfew (10 PM - 4 AM).
violence,What is the barangay's policy on domestic violence?,Violent behavior will be reported to barangay officials and police.
violence,Does Barangay Buhangin prohibit domestic violence?,Violent behavior will be reported to barangay officials and police.
violence,How does the barangay handle cases of domestic abuse?,Violent behavior will be reported to barangay officials and police.
curfew,Q282: Curfew hours in Barangay Buhangin are from 10:00 PM to 4:00 AM.,Minors must stay indoors during curfew (10 PM - 4 AM).
drugs,How does Barangay Buhangin support the fight against illegal drugs?,Residents are encouraged to report drug-related activities.
drugs,What should I do if I witness illegal drug activity in Barangay Buhangin?,Residents are encouraged to report drug-related activities.
drugs,What are the barangay's efforts to prevent illegal drug use?,Residents are encouraged to report drug-related activities.
waste_management,What are the rules on garbage collection in Barangay Buhangin?,Improper waste disposal may lead to fines.
waste_management,Are there fines for improper waste disposal in the barangay?,Improper waste disposal may lead to fines.
waste_management,How is garbage managed in Barangay Buhangin?,Improper waste disposal may lead to fines.
violence,What is the barangay's policy on domestic violence?,Violent behavior will be reported to barangay officials and police.
violence,Does Barangay Buhangin prohibit domestic violence?,Violent behavior will be reported to barangay officials and police.
violence,How does the barangay handle cases of domestic abuse?,Violent behavior will be reported to barangay officials and police.
barangay_clearance,Q286: Clearance is needed for job applications and legal documents.,Requirements for clearance include valid ID and barangay residency.
drugs,How does Barangay Buhangin support the fight against illegal drugs?,Barangay Buhangin supports anti-illegal drugs campaigns.
drugs,What should I do if I witness illegal drug activity in Barangay Buhangin?,Barangay Buhangin supports anti-illegal drugs campaigns.
drugs,What are the barangay's efforts to prevent illegal drug use?,Barangay Buhangin supports anti-illegal drugs campaigns.
community_service,Q288: Barangay promotes community volunteerism.,Community service may be given as penalty for minor offenses.
alcohol_regulation,Q289: Residents must follow restrictions on alcohol to avoid penalties.,Liquor ban applies during fiestas and election periods.
noise_control,What does the barangay noise ordinance require from residents?,Barangay noise ordinance requires lowering volume at night.
noise_control,Are there rules about noise levels in Barangay Buhangin?,Barangay noise ordinance requires lowering volume at night.
noise_control,How should residents manage noise under the barangay ordinance?,Barangay noise ordinance requires lowering volume at night.
drugs,How does Barangay Buhangin support the fight against illegal drugs?,Barangay Buhangin supports anti-illegal drugs campaigns.
drugs,What should I do if I witness illegal drug activity in Barangay Buhangin?,Barangay Buhangin supports anti-illegal drugs campaigns.
drugs,What are the barangay's efforts to prevent illegal drug use?,Barangay Buhangin supports anti-illegal drugs campaigns.
community_service,Q292: Offenders may be required to join clean-up drives.,Offenders may be required to join clean-up drives.
noise_control,What does the barangay noise ordinance require from residents?,Barangay noise ordinance requires lowering volume at night.
noise_control,Are there rules about noise levels in Barangay Buhangin?,Barangay noise ordinance requires lowering volume at night.
noise_control,How should residents manage noise under the barangay ordinance?,Barangay noise ordinance requires lowering volume at night.
drugs,How does Barangay Buhangin support the fight against illegal drugs?,Residents are encouraged to report drug-related activities.
drugs,What should I do if I witness illegal drug activity in Barangay Buhangin?,Residents are encouraged to report drug-related activities.
drugs,What are the barangay's efforts to prevent illegal drug use?,Residents are encouraged to report drug-related activities.
barangay_clearance,Q295: Barangay clearance can be requested at the Barangay Hall during office hours.,Barangay clearance can be requested at the Barangay Hall during office hours.
barangay_clearance,Q296: Barangay clearance can be requested at the Barangay Hall during office hours.,Barangay clearance can be requested at the Barangay Hall during office hours.
barangay_clearance,Q297: Clearance is needed for job applications and legal documents.,Clearance is needed for job applications and legal documents.
alcohol_regulation,Q298: Residents must follow restrictions on alcohol to avoid penalties.,Alcohol selling is prohibited after 10:00 PM.
violence,What is the barangay's policy on domestic violence?,Barangay encourages peaceful resolution of disputes.
violence,Does Barangay Buhangin prohibit domestic violence?,Barangay encourages peaceful resolution of disputes.
violence,How does the barangay handle cases of domestic abuse?,Barangay encourages peaceful resolution of disputes.
permits,Q300: Applicants must secure barangay approval before construction projects.,Applicants must secure barangay approval before construction projects.
loitering,Q301: Loitering rules are enforced for minors and late-night gatherings.,Groups gathering in restricted areas may be dispersed by barangay tanods.
curfew,Q302: Minors must stay indoors during curfew (10 PM - 4 AM).,Minors must stay indoors during curfew (10 PM - 4 AM).
waste_management,What are the rules on garbage collection in Barangay Buhangin?,Improper waste disposal may lead to fines.
waste_management,Are there fines for improper waste disposal in the barangay?,Improper waste disposal may lead to fines.
waste_management,How is garbage managed in Barangay Buhangin?,Improper waste disposal may lead to fines.
loitering,Q304: Loitering rules are enforced for minors and late-night gatherings.,Loitering in public areas during curfew is prohibited.
permits,Q305: Barangay permits are required for public events.,Business permits are processed through the barangay before city hall.
barangay_clearance,Q306: Barangay clearance can be requested at the Barangay Hall during office hours.,Requirements for clearance include valid ID and barangay residency.
barangay_clearance,Q307: Requirements for clearance include valid ID and barangay residency.,Requirements for clearance include valid ID and barangay residency.
noise_control,What does the barangay noise ordinance require from residents?,Barangay noise ordinance requires lowering volume at night.
noise_control,Are there rules about noise levels in Barangay Buhangin?,Barangay noise ordinance requires lowering volume at night.
noise_control,How should residents manage noise under the barangay ordinance?,Barangay noise ordinance requires lowering volume at night.
drugs,How does Barangay Buhangin support the fight against illegal drugs?,Barangay Buhangin supports anti-illegal drugs campaigns.
drugs,What should I do if I witness illegal drug activity in Barangay Buhangin?,Barangay Buhangin supports anti-illegal drugs campaigns.
drugs,What are the barangay's efforts to prevent illegal drug use?,Barangay Buhangin supports anti-illegal drugs campaigns.
permits,Q310: Applicants must secure barangay approval before construction projects.,Applicants must secure barangay approval before construction projects.
drugs,How does Barangay Buhangin support the fight against illegal drugs?,Illegal drug possession and use are punishable by law.
drugs,What should I do if I witness illegal drug activity in Barangay Buhangin?,Illegal drug possession and use are punishable by law.
drugs,What are the barangay's efforts to prevent illegal drug use?,Illegal drug possession and use are punishable by law.
loitering,Q312: Groups gathering in restricted areas may be dispersed by barangay tanods.,Groups gathering in restricted areas may be dispersed by barangay tanods.
loitering,Q313: Groups gathering in restricted areas may be dispersed by barangay tanods.,Loitering in public areas during curfew is prohibited.
violence,What is the barangay's policy on domestic violence?,Violent behavior will be reported to barangay officials and police.
violence,Does Barangay Buhangin prohibit domestic violence?,Violent behavior will be reported to barangay officials and police.
violence,How does the barangay handle cases of domestic abuse?,Violent behavior will be reported to barangay officials and police.
loitering,Q315: Loitering in public areas during curfew is prohibited.,Groups gathering in restricted areas may be dispersed by barangay tanods.
community_service,Q316: Offenders may be required to join clean-up drives.,Barangay promotes community volunteerism.
alcohol_regulation,Q317: Alcohol selling is prohibited after 10:00 PM.,Residents must follow restrictions on alcohol to avoid penalties.
barangay_clearance,Q318: Requirements for clearance include valid ID and barangay residency.,Barangay clearance can be requested at the Barangay Hall during office hours.
drugs,How does Barangay Buhangin support the fight against illegal drugs?,Residents are encouraged to report drug-related activities.
drugs,What should I do if I witness illegal drug activity in Barangay Buhangin?,Residents are encouraged to report drug-related activities.
drugs,What are the barangay's efforts to prevent illegal drug use?,Residents are encouraged to report drug-related activities.
community_service,Q320: Offenders may be required to join clean-up drives.,Community service may be given as penalty for minor offenses.
alcohol_regulation,Q321: Residents must follow restrictions on alcohol to avoid penalties.,Residents must follow restrictions on alcohol to avoid penalties.
noise_control,What does the barangay noise ordinance require from residents?,Barangay noise ordinance requires lowering volume at night.
noise_control,Are there rules about noise levels in Barangay Buhangin?,Barangay noise ordinance requires lowering volume at night.
noise_control,How should residents manage noise under the barangay ordinance?,Barangay noise ordinance requires lowering volume at night.
barangay_clearance,Q323: Clearance is needed for job applications and legal documents.,Barangay clearance can be requested at the Barangay Hall during office hours.
permits,Q324: Business permits are processed through the barangay before city hall.,Applicants must secure barangay approval before construction projects.
violence,What is the barangay's policy on domestic violence?,Barangay encourages peaceful resolution of disputes.
violence,Does Barangay Buhangin prohibit domestic violence?,Barangay encourages peaceful resolution of disputes.
violence,How does the barangay handle cases of domestic abuse?,Barangay encourages peaceful resolution of disputes.
noise_control,What does the barangay noise ordinance require from residents?,Barangay noise ordinance requires lowering volume at night.
noise_control,Are there rules about noise levels in Barangay Buhangin?,Barangay noise ordinance requires lowering volume at night.
noise_control,How should residents manage noise under the barangay ordinance?,Barangay noise ordinance requires lowering volume at night.
curfew,Q327: The barangay enforces curfew to ensure peace and order at night.,Curfew hours in Barangay Buhangin are from 10:00 PM to 4:00 AM.
curfew,Q328: Curfew hours in Barangay Buhangin are from 10:00 PM to 4:00 AM.,Curfew hours in Barangay Buhangin are from 10:00 PM to 4:00 AM.
violence,What is the barangay's policy on domestic violence?,Violent behavior will be reported to barangay officials and police.
violence,Does Barangay Buhangin prohibit domestic violence?,Violent behavior will be reported to barangay officials and police.
violence,How does the barangay handle cases of domestic abuse?,Violent behavior will be reported to barangay officials and police.
community_service,Q330: Community service may be given as penalty for minor offenses.,Community service may be given as penalty for minor offenses.
violence,What is the barangay's policy on domestic violence?,Barangay encourages peaceful resolution of disputes.
violence,Does Barangay Buhangin prohibit domestic violence?,Barangay encourages peaceful resolution of disputes.
violence,How does the barangay handle cases of domestic abuse?,Barangay encourages peaceful resolution of disputes.
loitering,Q332: Loitering rules are enforced for minors and late-night gatherings.,Loitering rules are enforced for minors and late-night gatherings.
curfew,Q333: Curfew hours in Barangay Buhangin are from 10:00 PM to 4:00 AM.,Minors must stay indoors during curfew (10 PM - 4 AM).
curfew,Q334: The barangay enforces curfew to ensure peace and order at night.,Minors must stay indoors during curfew (10 PM - 4 AM).
loitering,Q335: Groups gathering in restricted areas may be dispersed by barangay tanods.,Groups gathering in restricted areas may be dispersed by barangay tanods.
waste_management,What are the rules on garbage collection in Barangay Buhangin?,"Garbage collection in Barangay Buhangin is every Monday, Wednesday, and Friday."
waste_management,Are there fines for improper waste disposal in the barangay?,"Garbage collection in Barangay Buhangin is every Monday, Wednesday, and Friday."
waste_management,How is garbage managed in Barangay Buhangin?,"Garbage collection in Barangay Buhangin is every Monday, Wednesday, and Friday."
alcohol_regulation,Q337: Liquor ban applies during fiestas and election periods.,Residents must follow restrictions on alcohol to avoid penalties.
waste_management,What are the rules on garbage collection in Barangay Buhangin?,"Garbage collection in Barangay Buhangin is every Monday, Wednesday, and Friday."
waste_management,Are there fines for improper waste disposal in the barangay?,"Garbage collection in Barangay Buhangin is every Monday, Wednesday, and Friday."
waste_management,How is garbage managed in Barangay Buhangin?,"Garbage collection in Barangay Buhangin is every Monday, Wednesday, and Friday."
barangay_clearance,Q339: Clearance is needed for job applications and legal documents.,Requirements for clearance include valid ID and barangay residency.
noise_control,What does the barangay noise ordinance require from residents?,Unnecessary loud sound at night may lead to barangay sanctions.
noise_control,Are there rules about noise levels in Barangay Buhangin?,Unnecessary loud sound at night may lead to barangay sanctions.
noise_control,How should residents manage noise under the barangay ordinance?,Unnecessary loud sound at night may lead to barangay sanctions.
noise_control,What does the barangay noise ordinance require from residents?,Barangay noise ordinance requires lowering volume at night.
noise_control,Are there rules about noise levels in Barangay Buhangin?,Barangay noise ordinance requires lowering volume at night.
noise_control,How should residents manage noise under the barangay ordinance?,Barangay noise ordinance requires lowering volume at night.
noise_control,What does the barangay noise ordinance require from residents?,Barangay noise ordinance requires lowering volume at night.
noise_control,Are there rules about noise levels in Barangay Buhangin?,Barangay noise ordinance requires lowering volume at night.
noise_control,How should residents manage noise under the barangay ordinance?,Barangay noise ordinance requires lowering volume at night.
alcohol_regulation,Q343: Alcohol selling is prohibited after 10:00 PM.,Alcohol selling is prohibited after 10:00 PM.
waste_management,What are the rules on garbage collection in Barangay Buhangin?,Improper waste disposal may lead to fines.
waste_management,Are there fines for improper waste disposal in the barangay?,Improper waste disposal may lead to fines.
waste_management,How is garbage managed in Barangay Buhangin?,Improper waste disposal may lead to fines.
permits,Q345: Applicants must secure barangay approval before construction projects.,Applicants must secure barangay approval before construction projects.
alcohol_regulation,Q346: Liquor ban applies during fiestas and election periods.,Alcohol selling is prohibited after 10:00 PM.
violence,What is the barangay's policy on domestic violence?,Barangay encourages peaceful resolution of disputes.
violence,Does Barangay Buhangin prohibit domestic violence?,Barangay encourages peaceful resolution of disputes.
violence,How does the barangay handle cases of domestic abuse?,Barangay encourages peaceful resolution of disputes.
permits,Q348: Applicants must secure barangay approval before construction projects.,Business permits are processed through the barangay before city hall.
permits,Q349: Applicants must secure barangay approval before construction projects.,Business permits are processed through the barangay before city hall.
barangay_clearance,Q350: Requirements for clearance include valid ID and barangay residency.,Barangay clearance can be requested at the Barangay Hall during office hours.
noise_control,What does the barangay noise ordinance require from residents?,Loud noise is prohibited after 9:00 PM in residential areas.
noise_control,Are there rules about noise levels in Barangay Buhangin?,Loud noise is prohibited after 9:00 PM in residential areas.
noise_control,How should residents manage noise under the barangay ordinance?,Loud noise is prohibited after 9:00 PM in residential areas.
noise_control,What does the barangay noise ordinance require from residents?,Loud noise is prohibited after 9:00 PM in residential areas.
noise_control,Are there rules about noise levels in Barangay Buhangin?,Loud noise is prohibited after 9:00 PM in residential areas.
noise_control,How should residents manage noise under the barangay ordinance?,Loud noise is prohibited after 9:00 PM in residential areas.
alcohol_regulation,Q353: Liquor ban applies during fiestas and election periods.,Alcohol selling is prohibited after 10:00 PM.
curfew,Q354: The barangay enforces curfew to ensure peace and order at night.,The barangay enforces curfew to ensure peace and order at night.
barangay_clearance,Q355: Barangay clearance can be requested at the Barangay Hall during office hours.,Clearance is needed for job applications and legal documents.
drugs,How does Barangay Buhangin support the fight against illegal drugs?,Barangay Buhangin supports anti-illegal drugs campaigns.
drugs,What should I do if I witness illegal drug activity in Barangay Buhangin?,Barangay Buhangin supports anti-illegal drugs campaigns.
drugs,What are the barangay's efforts to prevent illegal drug use?,Barangay Buhangin supports anti-illegal drugs campaigns.
community_service,Q357: Barangay promotes community volunteerism.,Community service may be given as penalty for minor offenses.
loitering,Q358: Loitering in public areas during curfew is prohibited.,Loitering in public areas during curfew is prohibited.
barangay_clearance,Q359: Barangay clearance can be requested at the Barangay Hall during office hours.,Requirements for clearance include valid ID and barangay residency.
loitering,Q360: Loitering rules are enforced for minors and late-night gatherings.,Loitering in public areas during curfew is prohibited.
permits,Q361: Applicants must secure barangay approval before construction projects.,Barangay permits are required for public events.
noise_control,What does the barangay noise ordinance require from residents?,Unnecessary loud sound at night may lead to barangay sanctions.
noise_control,Are there rules about noise levels in Barangay Buhangin?,Unnecessary loud sound at night may lead to barangay sanctions.
noise_control,How should residents manage noise under the barangay ordinance?,Unnecessary loud sound at night may lead to barangay sanctions.
loitering,Q363: Groups gathering in restricted areas may be dispersed by barangay tanods.,Groups gathering in restricted areas may be dispersed by barangay tanods.
barangay_clearance,Q364: Requirements for clearance include valid ID and barangay residency.,Clearance is needed for job applications and legal documents.
drugs,How does Barangay Buhangin support the fight against illegal drugs?,Barangay Buhangin supports anti-illegal drugs campaigns.
drugs,What should I do if I witness illegal drug activity in Barangay Buhangin?,Barangay Buhangin supports anti-illegal drugs campaigns.
drugs,What are the barangay's efforts to prevent illegal drug use?,Barangay Buhangin supports anti-illegal drugs campaigns.
violence,What is the barangay's policy on domestic violence?,Barangay encourages peaceful resolution of disputes.
violence,Does Barangay Buhangin prohibit domestic violence?,Barangay encourages peaceful resolution of disputes.
violence,How does the barangay handle cases of domestic abuse?,Barangay encourages peaceful resolution of disputes.
drugs,How does Barangay Buhangin support the fight against illegal drugs?,Barangay Buhangin supports anti-illegal drugs campaigns.
drugs,What should I do if I witness illegal drug activity in Barangay Buhangin?,Barangay Buhangin supports anti-illegal drugs campaigns.
drugs,What are the barangay's efforts to prevent illegal drug use?,Barangay Buhangin supports anti-illegal drugs campaigns.
permits,Q368: Barangay permits are required for public events.,Applicants must secure barangay approval before construction projects.
permits,Q369: Barangay permits are required for public events.,Business permits are processed through the barangay before city hall.
curfew,Q370: Curfew hours in Barangay Buhangin are from 10:00 PM to 4:00 AM.,Minors must stay indoors during curfew (10 PM - 4 AM).
curfew,Q371: Minors must stay indoors during curfew (10 PM - 4 AM).,The barangay enforces curfew to ensure peace and order at night.
curfew,Q372: Minors must stay indoors during curfew (10 PM - 4 AM).,Curfew hours in Barangay Buhangin are from 10:00 PM to 4:00 AM.
loitering,Q373: Groups gathering in restricted areas may be dispersed by barangay tanods.,Loitering in public areas during curfew is prohibited.
alcohol_regulation,Q374: Alcohol selling is prohibited after 10:00 PM.,Liquor ban applies during fiestas and election periods.
loitering,Q375: Loitering in public areas during curfew is prohibited.,Loitering in public areas during curfew is prohibited.
community_service,Q376: Barangay promotes community volunteerism.,Barangay promotes community volunteerism.
alcohol_regulation,Q377: Alcohol selling is prohibited after 10:00 PM.,Liquor ban applies during fiestas and election periods.
violence,What is the barangay's policy on domestic violence?,Violent behavior will be reported to barangay officials and police.
violence,Does Barangay Buhangin prohibit domestic violence?,Violent behavior will be reported to barangay officials and police.
violence,How does the barangay handle cases of domestic abuse?,Violent behavior will be reported to barangay officials and police.
community_service,Q379: Community service may be given as penalty for minor offenses.,Barangay promotes community volunteerism.
community_service,Q380: Barangay promotes community volunteerism.,Barangay promotes community volunteerism.
community_service,Q381: Community service may be given as penalty for minor offenses.,Offenders may be required to join clean-up drives.
loitering,Q382: Groups gathering in restricted areas may be dispersed by barangay tanods.,Loitering in public areas during curfew is prohibited.
alcohol_regulation,Q383: Liquor ban applies during fiestas and election periods.,Liquor ban applies during fiestas and election periods.
drugs,How does Barangay Buhangin support the fight against illegal drugs?,Barangay Buhangin supports anti-illegal drugs campaigns.
drugs,What should I do if I witness illegal drug activity in Barangay Buhangin?,Barangay Buhangin supports anti-illegal drugs campaigns.
drugs,What are the barangay's efforts to prevent illegal drug use?,Barangay Buhangin supports anti-illegal drugs campaigns.
waste_management,What are the rules on garbage collection in Barangay Buhangin?,"Garbage collection in Barangay Buhangin is every Monday, Wednesday, and Friday."
waste_management,Are there fines for improper waste disposal in the barangay?,"Garbage collection in Barangay Buhangin is every Monday, Wednesday, and Friday."
waste_management,How is garbage managed in Barangay Buhangin?,"Garbage collection in Barangay Buhangin is every Monday, Wednesday, and Friday."
loitering,Q386: Loitering rules are enforced for minors and late-night gatherings.,Loitering rules are enforced for minors and late-night gatherings.
permits,Q387: Applicants must secure barangay approval before construction projects.,Business permits are processed through the barangay before city hall.
curfew,Q388: Curfew hours in Barangay Buhangin are from 10:00 PM to 4:00 AM.,Curfew hours in Barangay Buhangin are from 10:00 PM to 4:00 AM.
curfew,Q389: Curfew hours in Barangay Buhangin are from 10:00 PM to 4:00 AM.,Curfew hours in Barangay Buhangin are from 10:00 PM to 4:00 AM.
community_service,Q390: Barangay promotes community volunteerism.,Community service may be given as penalty for minor offenses.
community_service,Q391: Barangay promotes community volunteerism.,Community service may be given as penalty for minor offenses.
permits,Q392: Applicants must secure barangay approval before construction projects.,Barangay permits are required for public events.
violence,What is the barangay's policy on domestic violence?,Barangay strictly prohibits domestic violence and physical assault.
violence,Does Barangay Buhangin prohibit domestic violence?,Barangay strictly prohibits domestic violence and physical assault.
violence,How does the barangay handle cases of domestic abuse?,Barangay strictly prohibits domestic violence and physical assault.
drugs,How does Barangay Buhangin support the fight against illegal drugs?,Residents are encouraged to report drug-related activities.
drugs,What should I do if I witness illegal drug activity in Barangay Buhangin?,Residents are encouraged to report drug-related activities.
drugs,What are the barangay's efforts to prevent illegal drug use?,Residents are encouraged to report drug-related activities.
drugs,How does Barangay Buhangin support the fight against illegal drugs?,Barangay Buhangin supports anti-illegal drugs campaigns.
drugs,What should I do if I witness illegal drug activity in Barangay Buhangin?,Barangay Buhangin supports anti-illegal drugs campaigns.
drugs,What are the barangay's efforts to prevent illegal drug use?,Barangay Buhangin supports anti-illegal drugs campaigns.
waste_management,What are the rules on garbage collection in Barangay Buhangin?,Improper waste disposal may lead to fines.
waste_management,Are there fines for improper waste disposal in the barangay?,Improper waste disposal may lead to fines.
waste_management,How is garbage managed in Barangay Buhangin?,Improper waste disposal may lead to fines.
permits,Q397: Business permits are processed through the barangay before city hall.,Barangay permits are required for public events.
noise_control,What does the barangay noise ordinance require from residents?,Unnecessary loud sound at night may lead to barangay sanctions.
noise_control,Are there rules about noise levels in Barangay Buhangin?,Unnecessary loud sound at night may lead to barangay sanctions.
noise_control,How should residents manage noise under the barangay ordinance?,Unnecessary loud sound at night may lead to barangay sanctions.
alcohol_regulation,Q399: Liquor ban applies during fiestas and election periods.,Alcohol selling is prohibited after 10:00 PM.
loitering,Q400: Groups gathering in restricted areas may be dispersed by barangay tanods.,Groups gathering in restricted areas may be dispersed by barangay tanods.
barangay_clearance,Q401: Clearance is needed for job applications and legal documents.,Barangay clearance can be requested at the Barangay Hall during office hours.
permits,Q402: Applicants must secure barangay approval before construction projects.,Barangay permits are required for public events.
community_service,Q403: Barangay promotes community volunteerism.,Community service may be given as penalty for minor offenses.
