intent,patterns,bot_response
curfew,Q266: Curfew hours in Barangay Buhangin are from 10:00 PM to 4:00 AM.,The barangay enforces curfew to ensure peace and order at night.
drugs,Q267: Residents are encouraged to report drug-related activities.,Illegal drug possession and use are punishable by law.
noise_control,Q268: Barangay noise ordinance requires lowering volume at night.,Loud noise is prohibited after 9:00 PM in residential areas.
curfew,Q269: Curfew hours in Barangay Buhangin are from 10:00 PM to 4:00 AM.,The barangay enforces curfew to ensure peace and order at night.
permits,Q270: Applicants must secure barangay approval before construction projects.,Business permits are processed through the barangay before city hall.
noise_control,Q271: Barangay noise ordinance requires lowering volume at night.,Barangay noise ordinance requires lowering volume at night.
permits,Q272: Barangay permits are required for public events.,Business permits are processed through the barangay before city hall.
drugs,Q273: Illegal drug possession and use are punishable by law.,Illegal drug possession and use are punishable by law.
curfew,Q274: The barangay enforces curfew to ensure peace and order at night.,Minors must stay indoors during curfew (10 PM - 4 AM).
violence,Q275: Violent behavior will be reported to barangay officials and police.,Barangay encourages peaceful resolution of disputes.
drugs,Q276: Barangay Buhangin supports anti-illegal drugs campaigns.,Illegal drug possession and use are punishable by law.
loitering,Q277: Loitering in public areas during curfew is prohibited.,Groups gathering in restricted areas may be dispersed by barangay tanods.
violence,Q278: Violent behavior will be reported to barangay officials and police.,Barangay strictly prohibits domestic violence and physical assault.
community_service,Q279: Offenders may be required to join clean-up drives.,Barangay promotes community volunteerism.
curfew,Q280: Curfew hours in Barangay Buhangin are from 10:00 PM to 4:00 AM.,Minors must stay indoors during curfew (10 PM - 4 AM).
violence,Q281: Violent behavior will be reported to barangay officials and police.,Violent behavior will be reported to barangay officials and police.
curfew,Q282: Curfew hours in Barangay Buhangin are from 10:00 PM to 4:00 AM.,Minors must stay indoors during curfew (10 PM - 4 AM).
drugs,Q283: Illegal drug possession and use are punishable by law.,Residents are encouraged to report drug-related activities.
waste_management,"Q284: Garbage collection in Barangay Buhangin is every Monday, Wednesday, and Friday.",Improper waste disposal may lead to fines.
violence,Q285: Violent behavior will be reported to barangay officials and police.,Violent behavior will be reported to barangay officials and police.
barangay_clearance,Q286: Clearance is needed for job applications and legal documents.,Requirements for clearance include valid ID and barangay residency.
drugs,Q287: Illegal drug possession and use are punishable by law.,Barangay Buhangin supports anti-illegal drugs campaigns.
community_service,Q288: Barangay promotes community volunteerism.,Community service may be given as penalty for minor offenses.
alcohol_regulation,Q289: Residents must follow restrictions on alcohol to avoid penalties.,Liquor ban applies during fiestas and election periods.
noise_control,Q290: Loud noise is prohibited after 9:00 PM in residential areas.,Barangay noise ordinance requires lowering volume at night.
drugs,Q291: Residents are encouraged to report drug-related activities.,Barangay Buhangin supports anti-illegal drugs campaigns.
community_service,Q292: Offenders may be required to join clean-up drives.,Offenders may be required to join clean-up drives.
noise_control,Q293: Barangay noise ordinance requires lowering volume at night.,Barangay noise ordinance requires lowering volume at night.
drugs,Q294: Barangay Buhangin supports anti-illegal drugs campaigns.,Residents are encouraged to report drug-related activities.
barangay_clearance,Q295: Barangay clearance can be requested at the Barangay Hall during office hours.,Barangay clearance can be requested at the Barangay Hall during office hours.
barangay_clearance,Q296: Barangay clearance can be requested at the Barangay Hall during office hours.,Barangay clearance can be requested at the Barangay Hall during office hours.
barangay_clearance,Q297: Clearance is needed for job applications and legal documents.,Clearance is needed for job applications and legal documents.
alcohol_regulation,Q298: Residents must follow restrictions on alcohol to avoid penalties.,Alcohol selling is prohibited after 10:00 PM.
violence,Q299: Violent behavior will be reported to barangay officials and police.,Barangay encourages peaceful resolution of disputes.
permits,Q300: Applicants must secure barangay approval before construction projects.,Applicants must secure barangay approval before construction projects.
loitering,Q301: Loitering rules are enforced for minors and late-night gatherings.,Groups gathering in restricted areas may be dispersed by barangay tanods.
curfew,Q302: Minors must stay indoors during curfew (10 PM - 4 AM).,Minors must stay indoors during curfew (10 PM - 4 AM).
waste_management,Q303: Residents must segregate biodegradable and non-biodegradable waste.,Improper waste disposal may lead to fines.
loitering,Q304: Loitering rules are enforced for minors and late-night gatherings.,Loitering in public areas during curfew is prohibited.
permits,Q305: Barangay permits are required for public events.,Business permits are processed through the barangay before city hall.
barangay_clearance,Q306: Barangay clearance can be requested at the Barangay Hall during office hours.,Requirements for clearance include valid ID and barangay residency.
barangay_clearance,Q307: Requirements for clearance include valid ID and barangay residency.,Requirements for clearance include valid ID and barangay residency.
noise_control,Q308: Loud noise is prohibited after 9:00 PM in residential areas.,Barangay noise ordinance requires lowering volume at night.
drugs,Q309: Illegal drug possession and use are punishable by law.,Barangay Buhangin supports anti-illegal drugs campaigns.
permits,Q310: Applicants must secure barangay approval before construction projects.,Applicants must secure barangay approval before construction projects.
drugs,Q311: Illegal drug possession and use are punishable by law.,Illegal drug possession and use are punishable by law.
loitering,Q312: Groups gathering in restricted areas may be dispersed by barangay tanods.,Groups gathering in restricted areas may be dispersed by barangay tanods.
loitering,Q313: Groups gathering in restricted areas may be dispersed by barangay tanods.,Loitering in public areas during curfew is prohibited.
violence,Q314: Barangay strictly prohibits domestic violence and physical assault.,Violent behavior will be reported to barangay officials and police.
loitering,Q315: Loitering in public areas during curfew is prohibited.,Groups gathering in restricted areas may be dispersed by barangay tanods.
community_service,Q316: Offenders may be required to join clean-up drives.,Barangay promotes community volunteerism.
alcohol_regulation,Q317: Alcohol selling is prohibited after 10:00 PM.,Residents must follow restrictions on alcohol to avoid penalties.
barangay_clearance,Q318: Requirements for clearance include valid ID and barangay residency.,Barangay clearance can be requested at the Barangay Hall during office hours.
drugs,Q319: Barangay Buhangin supports anti-illegal drugs campaigns.,Residents are encouraged to report drug-related activities.
community_service,Q320: Offenders may be required to join clean-up drives.,Community service may be given as penalty for minor offenses.
alcohol_regulation,Q321: Residents must follow restrictions on alcohol to avoid penalties.,Residents must follow restrictions on alcohol to avoid penalties.
noise_control,Q322: Loud noise is prohibited after 9:00 PM in residential areas.,Barangay noise ordinance requires lowering volume at night.
barangay_clearance,Q323: Clearance is needed for job applications and legal documents.,Barangay clearance can be requested at the Barangay Hall during office hours.
permits,Q324: Business permits are processed through the barangay before city hall.,Applicants must secure barangay approval before construction projects.
violence,Q325: Barangay encourages peaceful resolution of disputes.,Barangay encourages peaceful resolution of disputes.
noise_control,Q326: Barangay noise ordinance requires lowering volume at night.,Barangay noise ordinance requires lowering volume at night.
curfew,Q327: The barangay enforces curfew to ensure peace and order at night.,Curfew hours in Barangay Buhangin are from 10:00 PM to 4:00 AM.
curfew,Q328: Curfew hours in Barangay Buhangin are from 10:00 PM to 4:00 AM.,Curfew hours in Barangay Buhangin are from 10:00 PM to 4:00 AM.
violence,Q329: Violent behavior will be reported to barangay officials and police.,Violent behavior will be reported to barangay officials and police.
community_service,Q330: Community service may be given as penalty for minor offenses.,Community service may be given as penalty for minor offenses.
violence,Q331: Barangay strictly prohibits domestic violence and physical assault.,Barangay encourages peaceful resolution of disputes.
loitering,Q332: Loitering rules are enforced for minors and late-night gatherings.,Loitering rules are enforced for minors and late-night gatherings.
curfew,Q333: Curfew hours in Barangay Buhangin are from 10:00 PM to 4:00 AM.,Minors must stay indoors during curfew (10 PM - 4 AM).
curfew,Q334: The barangay enforces curfew to ensure peace and order at night.,Minors must stay indoors during curfew (10 PM - 4 AM).
loitering,Q335: Groups gathering in restricted areas may be dispersed by barangay tanods.,Groups gathering in restricted areas may be dispersed by barangay tanods.
waste_management,Q336: Residents must segregate biodegradable and non-biodegradable waste.,"Garbage collection in Barangay Buhangin is every Monday, Wednesday, and Friday."
alcohol_regulation,Q337: Liquor ban applies during fiestas and election periods.,Residents must follow restrictions on alcohol to avoid penalties.
waste_management,Q338: Residents must segregate biodegradable and non-biodegradable waste.,"Garbage collection in Barangay Buhangin is every Monday, Wednesday, and Friday."
barangay_clearance,Q339: Clearance is needed for job applications and legal documents.,Requirements for clearance include valid ID and barangay residency.
noise_control,Q340: Loud noise is prohibited after 9:00 PM in residential areas.,Unnecessary loud sound at night may lead to barangay sanctions.
noise_control,Q341: Unnecessary loud sound at night may lead to barangay sanctions.,Barangay noise ordinance requires lowering volume at night.
noise_control,Q342: Loud noise is prohibited after 9:00 PM in residential areas.,Barangay noise ordinance requires lowering volume at night.
alcohol_regulation,Q343: Alcohol selling is prohibited after 10:00 PM.,Alcohol selling is prohibited after 10:00 PM.
waste_management,Q344: Improper waste disposal may lead to fines.,Improper waste disposal may lead to fines.
permits,Q345: Applicants must secure barangay approval before construction projects.,Applicants must secure barangay approval before construction projects.
alcohol_regulation,Q346: Liquor ban applies during fiestas and election periods.,Alcohol selling is prohibited after 10:00 PM.
violence,Q347: Barangay strictly prohibits domestic violence and physical assault.,Barangay encourages peaceful resolution of disputes.
permits,Q348: Applicants must secure barangay approval before construction projects.,Business permits are processed through the barangay before city hall.
permits,Q349: Applicants must secure barangay approval before construction projects.,Business permits are processed through the barangay before city hall.
barangay_clearance,Q350: Requirements for clearance include valid ID and barangay residency.,Barangay clearance can be requested at the Barangay Hall during office hours.
noise_control,Q351: Loud noise is prohibited after 9:00 PM in residential areas.,Loud noise is prohibited after 9:00 PM in residential areas.
noise_control,Q352: Barangay noise ordinance requires lowering volume at night.,Loud noise is prohibited after 9:00 PM in residential areas.
alcohol_regulation,Q353: Liquor ban applies during fiestas and election periods.,Alcohol selling is prohibited after 10:00 PM.
curfew,Q354: The barangay enforces curfew to ensure peace and order at night.,The barangay enforces curfew to ensure peace and order at night.
barangay_clearance,Q355: Barangay clearance can be requested at the Barangay Hall during office hours.,Clearance is needed for job applications and legal documents.
drugs,Q356: Barangay Buhangin supports anti-illegal drugs campaigns.,Barangay Buhangin supports anti-illegal drugs campaigns.
community_service,Q357: Barangay promotes community volunteerism.,Community service may be given as penalty for minor offenses.
loitering,Q358: Loitering in public areas during curfew is prohibited.,Loitering in public areas during curfew is prohibited.
barangay_clearance,Q359: Barangay clearance can be requested at the Barangay Hall during office hours.,Requirements for clearance include valid ID and barangay residency.
loitering,Q360: Loitering rules are enforced for minors and late-night gatherings.,Loitering in public areas during curfew is prohibited.
permits,Q361: Applicants must secure barangay approval before construction projects.,Barangay permits are required for public events.
noise_control,Q362: Unnecessary loud sound at night may lead to barangay sanctions.,Unnecessary loud sound at night may lead to barangay sanctions.
loitering,Q363: Groups gathering in restricted areas may be dispersed by barangay tanods.,Groups gathering in restricted areas may be dispersed by barangay tanods.
barangay_clearance,Q364: Requirements for clearance include valid ID and barangay residency.,Clearance is needed for job applications and legal documents.
drugs,Q365: Residents are encouraged to report drug-related activities.,Barangay Buhangin supports anti-illegal drugs campaigns.
violence,Q366: Violent behavior will be reported to barangay officials and police.,Barangay encourages peaceful resolution of disputes.
drugs,Q367: Illegal drug possession and use are punishable by law.,Barangay Buhangin supports anti-illegal drugs campaigns.
permits,Q368: Barangay permits are required for public events.,Applicants must secure barangay approval before construction projects.
permits,Q369: Barangay permits are required for public events.,Business permits are processed through the barangay before city hall.
curfew,Q370: Curfew hours in Barangay Buhangin are from 10:00 PM to 4:00 AM.,Minors must stay indoors during curfew (10 PM - 4 AM).
curfew,Q371: Minors must stay indoors during curfew (10 PM - 4 AM).,The barangay enforces curfew to ensure peace and order at night.
curfew,Q372: Minors must stay indoors during curfew (10 PM - 4 AM).,Curfew hours in Barangay Buhangin are from 10:00 PM to 4:00 AM.
loitering,Q373: Groups gathering in restricted areas may be dispersed by barangay tanods.,Loitering in public areas during curfew is prohibited.
alcohol_regulation,Q374: Alcohol selling is prohibited after 10:00 PM.,Liquor ban applies during fiestas and election periods.
loitering,Q375: Loitering in public areas during curfew is prohibited.,Loitering in public areas during curfew is prohibited.
community_service,Q376: Barangay promotes community volunteerism.,Barangay promotes community volunteerism.
alcohol_regulation,Q377: Alcohol selling is prohibited after 10:00 PM.,Liquor ban applies during fiestas and election periods.
violence,Q378: Barangay encourages peaceful resolution of disputes.,Violent behavior will be reported to barangay officials and police.
community_service,Q379: Community service may be given as penalty for minor offenses.,Barangay promotes community volunteerism.
community_service,Q380: Barangay promotes community volunteerism.,Barangay promotes community volunteerism.
community_service,Q381: Community service may be given as penalty for minor offenses.,Offenders may be required to join clean-up drives.
loitering,Q382: Groups gathering in restricted areas may be dispersed by barangay tanods.,Loitering in public areas during curfew is prohibited.
alcohol_regulation,Q383: Liquor ban applies during fiestas and election periods.,Liquor ban applies during fiestas and election periods.
drugs,Q384: Barangay Buhangin supports anti-illegal drugs campaigns.,Barangay Buhangin supports anti-illegal drugs campaigns.
waste_management,Q385: Residents must segregate biodegradable and non-biodegradable waste.,"Garbage collection in Barangay Buhangin is every Monday, Wednesday, and Friday."
loitering,Q386: Loitering rules are enforced for minors and late-night gatherings.,Loitering rules are enforced for minors and late-night gatherings.
permits,Q387: Applicants must secure barangay approval before construction projects.,Business permits are processed through the barangay before city hall.
curfew,Q388: Curfew hours in Barangay Buhangin are from 10:00 PM to 4:00 AM.,Curfew hours in Barangay Buhangin are from 10:00 PM to 4:00 AM.
curfew,Q389: Curfew hours in Barangay Buhangin are from 10:00 PM to 4:00 AM.,Curfew hours in Barangay Buhangin are from 10:00 PM to 4:00 AM.
community_service,Q390: Barangay promotes community volunteerism.,Community service may be given as penalty for minor offenses.
community_service,Q391: Barangay promotes community volunteerism.,Community service may be given as penalty for minor offenses.
permits,Q392: Applicants must secure barangay approval before construction projects.,Barangay permits are required for public events.
violence,Q393: Barangay encourages peaceful resolution of disputes.,Barangay strictly prohibits domestic violence and physical assault.
drugs,Q394: Barangay Buhangin supports anti-illegal drugs campaigns.,Residents are encouraged to report drug-related activities.
drugs,Q395: Barangay Buhangin supports anti-illegal drugs campaigns.,Barangay Buhangin supports anti-illegal drugs campaigns.
waste_management,"Q396: Garbage collection in Barangay Buhangin is every Monday, Wednesday, and Friday.",Improper waste disposal may lead to fines.
permits,Q397: Business permits are processed through the barangay before city hall.,Barangay permits are required for public events.
noise_control,Q398: Loud noise is prohibited after 9:00 PM in residential areas.,Unnecessary loud sound at night may lead to barangay sanctions.
alcohol_regulation,Q399: Liquor ban applies during fiestas and election periods.,Alcohol selling is prohibited after 10:00 PM.
loitering,Q400: Groups gathering in restricted areas may be dispersed by barangay tanods.,Groups gathering in restricted areas may be dispersed by barangay tanods.
barangay_clearance,Q401: Clearance is needed for job applications and legal documents.,Barangay clearance can be requested at the Barangay Hall during office hours.
permits,Q402: Applicants must secure barangay approval before construction projects.,Barangay permits are required for public events.
community_service,Q403: Barangay promotes community volunteerism.,Community service may be given as penalty for minor offenses.
barangay_clearance,Q404: Clearance is needed for job applications and legal documents.,Clearance is needed for job applications and legal documents.
drugs,Q405: Barangay Buhangin supports anti-illegal drugs campaigns.,Illegal drug possession and use are punishable by law.
curfew,Q406: Minors must stay indoors during curfew (10 PM - 4 AM).,Minors must stay indoors during curfew (10 PM - 4 AM).
permits,Q407: Business permits are processed through the barangay before city hall.,Business permits are processed through the barangay before city hall.
community_service,Q408: Barangay promotes community volunteerism.,Offenders may be required to join clean-up drives.
drugs,Q409: Residents are encouraged to report drug-related activities.,Barangay Buhangin supports anti-illegal drugs campaigns.
alcohol_regulation,Q410: Liquor ban applies during fiestas and election periods.,Liquor ban applies during fiestas and election periods.
community_service,Q411: Barangay promotes community volunteerism.,Community service may be given as penalty for minor offenses.
community_service,Q412: Community service may be given as penalty for minor offenses.,Offenders may be required to join clean-up drives.
violence,Q413: Barangay encourages peaceful resolution of disputes.,Barangay strictly prohibits domestic violence and physical assault.
loitering,Q414: Groups gathering in restricted areas may be dispersed by barangay tanods.,Loitering rules are enforced for minors and late-night gatherings.
noise_control,Q415: Unnecessary loud sound at night may lead to barangay sanctions.,Loud noise is prohibited after 9:00 PM in residential areas.
waste_management,Q416: Improper waste disposal may lead to fines.,"Garbage collection in Barangay Buhangin is every Monday, Wednesday, and Friday."
alcohol_regulation,Q417: Liquor ban applies during fiestas and election periods.,Residents must follow restrictions on alcohol to avoid penalties.
curfew,Q418: Minors must stay indoors during curfew (10 PM - 4 AM).,Minors must stay indoors during curfew (10 PM - 4 AM).
loitering,Q419: Loitering in public areas during curfew is prohibited.,Loitering in public areas during curfew is prohibited.
community_service,Q420: Community service may be given as penalty for minor offenses.,Community service may be given as penalty for minor offenses.
drugs,Q421: Barangay Buhangin supports anti-illegal drugs campaigns.,Barangay Buhangin supports anti-illegal drugs campaigns.
violence,Q422: Violent behavior will be reported to barangay officials and police.,Barangay strictly prohibits domestic violence and physical assault.
community_service,Q423: Barangay promotes community volunteerism.,Offenders may be required to join clean-up drives.
loitering,Q424: Loitering rules are enforced for minors and late-night gatherings.,Groups gathering in restricted areas may be dispersed by barangay tanods.
barangay_clearance,Q425: Clearance is needed for job applications and legal documents.,Requirements for clearance include valid ID and barangay residency.
loitering,Q426: Groups gathering in restricted areas may be dispersed by barangay tanods.,Loitering in public areas during curfew is prohibited.
alcohol_regulation,Q427: Alcohol selling is prohibited after 10:00 PM.,Liquor ban applies during fiestas and election periods.
curfew,Q428: Curfew hours in Barangay Buhangin are from 10:00 PM to 4:00 AM.,Minors must stay indoors during curfew (10 PM - 4 AM).
barangay_clearance,Q429: Clearance is needed for job applications and legal documents.,Requirements for clearance include valid ID and barangay residency.
drugs,Q430: Residents are encouraged to report drug-related activities.,Residents are encouraged to report drug-related activities.
barangay_clearance,Q431: Requirements for clearance include valid ID and barangay residency.,Clearance is needed for job applications and legal documents.
waste_management,"Q432: Garbage collection in Barangay Buhangin is every Monday, Wednesday, and Friday.","Garbage collection in Barangay Buhangin is every Monday, Wednesday, and Friday."
barangay_clearance,Q433: Clearance is needed for job applications and legal documents.,Barangay clearance can be requested at the Barangay Hall during office hours.
alcohol_regulation,Q434: Residents must follow restrictions on alcohol to avoid penalties.,Liquor ban applies during fiestas and election periods.
waste_management,"Q435: Garbage collection in Barangay Buhangin is every Monday, Wednesday, and Friday.",Improper waste disposal may lead to fines.
curfew,Q436: Minors must stay indoors during curfew (10 PM - 4 AM).,The barangay enforces curfew to ensure peace and order at night.
waste_management,Q437: Improper waste disposal may lead to fines.,Improper waste disposal may lead to fines.
permits,Q438: Business permits are processed through the barangay before city hall.,Business permits are processed through the barangay before city hall.
permits,Q439: Applicants must secure barangay approval before construction projects.,Business permits are processed through the barangay before city hall.
violence,Q440: Violent behavior will be reported to barangay officials and police.,Barangay encourages peaceful resolution of disputes.
drugs,Q441: Illegal drug possession and use are punishable by law.,Residents are encouraged to report drug-related activities.
loitering,Q442: Groups gathering in restricted areas may be dispersed by barangay tanods.,Loitering rules are enforced for minors and late-night gatherings.
barangay_clearance,Q443: Requirements for clearance include valid ID and barangay residency.,Clearance is needed for job applications and legal documents.
alcohol_regulation,Q444: Liquor ban applies during fiestas and election periods.,Liquor ban applies during fiestas and election periods.
noise_control,Q445: Loud noise is prohibited after 9:00 PM in residential areas.,Loud noise is prohibited after 9:00 PM in residential areas.
waste_management,Q446: Improper waste disposal may lead to fines.,Residents must segregate biodegradable and non-biodegradable waste.
curfew,Q447: Minors must stay indoors during curfew (10 PM - 4 AM).,The barangay enforces curfew to ensure peace and order at night.
barangay_clearance,Q448: Requirements for clearance include valid ID and barangay residency.,Barangay clearance can be requested at the Barangay Hall during office hours.
waste_management,Q449: Improper waste disposal may lead to fines.,Improper waste disposal may lead to fines.
community_service,Q450: Offenders may be required to join clean-up drives.,Community service may be given as penalty for minor offenses.
violence,Q451: Barangay encourages peaceful resolution of disputes.,Violent behavior will be reported to barangay officials and police.
curfew,Q452: The barangay enforces curfew to ensure peace and order at night.,The barangay enforces curfew to ensure peace and order at night.
violence,Q453: Barangay encourages peaceful resolution of disputes.,Barangay strictly prohibits domestic violence and physical assault.
violence,Q454: Violent behavior will be reported to barangay officials and police.,Barangay strictly prohibits domestic violence and physical assault.
violence,Q455: Violent behavior will be reported to barangay officials and police.,Barangay encourages peaceful resolution of disputes.
waste_management,Q456: Residents must segregate biodegradable and non-biodegradable waste.,Improper waste disposal may lead to fines.
noise_control,Q457: Unnecessary loud sound at night may lead to barangay sanctions.,Loud noise is prohibited after 9:00 PM in residential areas.
loitering,Q458: Loitering in public areas during curfew is prohibited.,Loitering rules are enforced for minors and late-night gatherings.
violence,Q459: Barangay strictly prohibits domestic violence and physical assault.,Barangay encourages peaceful resolution of disputes.
alcohol_regulation,Q460: Residents must follow restrictions on alcohol to avoid penalties.,Liquor ban applies during fiestas and election periods.
curfew,Q461: Curfew hours in Barangay Buhangin are from 10:00 PM to 4:00 AM.,The barangay enforces curfew to ensure peace and order at night.
alcohol_regulation,Q462: Residents must follow restrictions on alcohol to avoid penalties.,Liquor ban applies during fiestas and election periods.
community_service,Q463: Community service may be given as penalty for minor offenses.,Offenders may be required to join clean-up drives.
loitering,Q464: Loitering rules are enforced for minors and late-night gatherings.,Loitering rules are enforced for minors and late-night gatherings.
permits,Q465: Barangay permits are required for public events.,Business permits are processed through the barangay before city hall.
alcohol_regulation,Q466: Residents must follow restrictions on alcohol to avoid penalties.,Alcohol selling is prohibited after 10:00 PM.
waste_management,Q467: Residents must segregate biodegradable and non-biodegradable waste.,Residents must segregate biodegradable and non-biodegradable waste.
noise_control,Q468: Loud noise is prohibited after 9:00 PM in residential areas.,Loud noise is prohibited after 9:00 PM in residential areas.
alcohol_regulation,Q469: Alcohol selling is prohibited after 10:00 PM.,Liquor ban applies during fiestas and election periods.
waste_management,Q470: Improper waste disposal may lead to fines.,Improper waste disposal may lead to fines.
curfew,Q471: The barangay enforces curfew to ensure peace and order at night.,Minors must stay indoors during curfew (10 PM - 4 AM).
violence,Q472: Barangay encourages peaceful resolution of disputes.,Violent behavior will be reported to barangay officials and police.
permits,Q473: Barangay permits are required for public events.,Applicants must secure barangay approval before construction projects.
community_service,Q474: Barangay promotes community volunteerism.,Offenders may be required to join clean-up drives.
community_service,Q475: Offenders may be required to join clean-up drives.,Community service may be given as penalty for minor offenses.
drugs,Q476: Barangay Buhangin supports anti-illegal drugs campaigns.,Residents are encouraged to report drug-related activities.
community_service,Q477: Barangay promotes community volunteerism.,Barangay promotes community volunteerism.
drugs,Q478: Residents are encouraged to report drug-related activities.,Residents are encouraged to report drug-related activities.
curfew,Q479: The barangay enforces curfew to ensure peace and order at night.,Minors must stay indoors during curfew (10 PM - 4 AM).
loitering,Q480: Loitering rules are enforced for minors and late-night gatherings.,Loitering in public areas during curfew is prohibited.
noise_control,Q481: Barangay noise ordinance requires lowering volume at night.,Loud noise is prohibited after 9:00 PM in residential areas.
loitering,Q482: Loitering rules are enforced for minors and late-night gatherings.,Loitering rules are enforced for minors and late-night gatherings.
alcohol_regulation,Q483: Residents must follow restrictions on alcohol to avoid penalties.,Alcohol selling is prohibited after 10:00 PM.
loitering,Q484: Loitering in public areas during curfew is prohibited.,Loitering in public areas during curfew is prohibited.
waste_management,Q485: Residents must segregate biodegradable and non-biodegradable waste.,Improper waste disposal may lead to fines.
permits,Q486: Business permits are processed through the barangay before city hall.,Business permits are processed through the barangay before city hall.
permits,Q487: Applicants must secure barangay approval before construction projects.,Applicants must secure barangay approval before construction projects.
drugs,Q488: Residents are encouraged to report drug-related activities.,Residents are encouraged to report drug-related activities.
community_service,Q489: Offenders may be required to join clean-up drives.,Community service may be given as penalty for minor offenses.
noise_control,Q490: Barangay noise ordinance requires lowering volume at night.,Loud noise is prohibited after 9:00 PM in residential areas.
permits,Q491: Applicants must secure barangay approval before construction projects.,Barangay permits are required for public events.
barangay_clearance,Q492: Clearance is needed for job applications and legal documents.,Clearance is needed for job applications and legal documents.
barangay_clearance,Q493: Barangay clearance can be requested at the Barangay Hall during office hours.,Clearance is needed for job applications and legal documents.
barangay_clearance,Q494: Clearance is needed for job applications and legal documents.,Clearance is needed for job applications and legal documents.
permits,Q495: Barangay permits are required for public events.,Barangay permits are required for public events.
noise_control,Q496: Unnecessary loud sound at night may lead to barangay sanctions.,Barangay noise ordinance requires lowering volume at night.
drugs,Q497: Illegal drug possession and use are punishable by law.,Barangay Buhangin supports anti-illegal drugs campaigns.
violence,Q498: Barangay strictly prohibits domestic violence and physical assault.,Barangay strictly prohibits domestic violence and physical assault.
community_service,Q499: Offenders may be required to join clean-up drives.,Offenders may be required to join clean-up drives.
community_service,Q500: Community service may be given as penalty for minor offenses.,Offenders may be required to join clean-up drives.
violence,Q501: Barangay strictly prohibits domestic violence and physical assault.,Violent behavior will be reported to barangay officials and police.
barangay_clearance,Q502: Requirements for clearance include valid ID and barangay residency.,Clearance is needed for job applications and legal documents.
loitering,Q503: Loitering in public areas during curfew is prohibited.,Groups gathering in restricted areas may be dispersed by barangay tanods.
loitering,Q504: Loitering rules are enforced for minors and late-night gatherings.,Loitering rules are enforced for minors and late-night gatherings.
permits,Q505: Barangay permits are required for public events.,Business permits are processed through the barangay before city hall.
community_service,Q506: Barangay promotes community volunteerism.,Offenders may be required to join clean-up drives.
alcohol_regulation,Q507: Liquor ban applies during fiestas and election periods.,Alcohol selling is prohibited after 10:00 PM.
drugs,Q508: Barangay Buhangin supports anti-illegal drugs campaigns.,Illegal drug possession and use are punishable by law.
alcohol_regulation,Q509: Alcohol selling is prohibited after 10:00 PM.,Liquor ban applies during fiestas and election periods.
barangay_clearance,Q510: Requirements for clearance include valid ID and barangay residency.,Requirements for clearance include valid ID and barangay residency.
curfew,Q511: The barangay enforces curfew to ensure peace and order at night.,The barangay enforces curfew to ensure peace and order at night.
community_service,Q512: Community service may be given as penalty for minor offenses.,Offenders may be required to join clean-up drives.
loitering,Q513: Loitering in public areas during curfew is prohibited.,Loitering rules are enforced for minors and late-night gatherings.
noise_control,Q514: Barangay noise ordinance requires lowering volume at night.,Loud noise is prohibited after 9:00 PM in residential areas.
barangay_clearance,Q515: Requirements for clearance include valid ID and barangay residency.,Barangay clearance can be requested at the Barangay Hall during office hours.
permits,Q516: Applicants must secure barangay approval before construction projects.,Barangay permits are required for public events.
waste_management,Q517: Residents must segregate biodegradable and non-biodegradable waste.,"Garbage collection in Barangay Buhangin is every Monday, Wednesday, and Friday."
alcohol_regulation,Q518: Alcohol selling is prohibited after 10:00 PM.,Residents must follow restrictions on alcohol to avoid penalties.
curfew,Q519: The barangay enforces curfew to ensure peace and order at night.,Curfew hours in Barangay Buhangin are from 10:00 PM to 4:00 AM.
community_service,Q520: Barangay promotes community volunteerism.,Community service may be given as penalty for minor offenses.
barangay_clearance,Q521: Requirements for clearance include valid ID and barangay residency.,Barangay clearance can be requested at the Barangay Hall during office hours.
permits,Q522: Business permits are processed through the barangay before city hall.,Barangay permits are required for public events.
barangay_clearance,Q523: Requirements for clearance include valid ID and barangay residency.,Requirements for clearance include valid ID and barangay residency.
permits,Q524: Barangay permits are required for public events.,Barangay permits are required for public events.
alcohol_regulation,Q525: Liquor ban applies during fiestas and election periods.,Alcohol selling is prohibited after 10:00 PM.
alcohol_regulation,Q526: Alcohol selling is prohibited after 10:00 PM.,Residents must follow restrictions on alcohol to avoid penalties.
violence,Q527: Barangay encourages peaceful resolution of disputes.,Violent behavior will be reported to barangay officials and police.
permits,Q528: Applicants must secure barangay approval before construction projects.,Barangay permits are required for public events.
waste_management,Q529: Residents must segregate biodegradable and non-biodegradable waste.,Improper waste disposal may lead to fines.
waste_management,"Q530: Garbage collection in Barangay Buhangin is every Monday, Wednesday, and Friday.",Improper waste disposal may lead to fines.
alcohol_regulation,Q531: Residents must follow restrictions on alcohol to avoid penalties.,Alcohol selling is prohibited after 10:00 PM.
waste_management,Q532: Residents must segregate biodegradable and non-biodegradable waste.,Residents must segregate biodegradable and non-biodegradable waste.
curfew,Q533: The barangay enforces curfew to ensure peace and order at night.,Curfew hours in Barangay Buhangin are from 10:00 PM to 4:00 AM.
community_service,Q534: Offenders may be required to join clean-up drives.,Community service may be given as penalty for minor offenses.
curfew,Q535: The barangay enforces curfew to ensure peace and order at night.,Minors must stay indoors during curfew (10 PM - 4 AM).
